rt,subject_id,group,phase,task,block,trial_n,watch_only,prop_SC,prop_OC,prop_R,trial_colour,trial_size,trial_velocity,trial_role,pressed,outcome,outcome_shown,completion_ms,completion_min
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,23,0,velocity,size,colour,blue,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,24,0,velocity,size,colour,red,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,25,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
1891.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,26,0,velocity,size,colour,blue,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,27,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,28,0,velocity,size,colour,red,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,29,0,velocity,size,colour,blue,small,slow,R,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,30,0,velocity,size,colour,blue,small,slow,R,0,0,1,1552120,25.868666666666666
987.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,31,0,velocity,size,colour,red,large,slow,OC,1,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,32,0,velocity,size,colour,blue,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,33,0,velocity,size,colour,blue,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,34,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,35,0,velocity,size,colour,blue,large,fast,SC,0,0,1,1552120,25.868666666666666
1261.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,36,0,velocity,size,colour,red,large,slow,OC,1,1,1,1552120,25.868666666666666
2725.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,37,0,velocity,size,colour,blue,large,fast,SC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,38,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,39,0,velocity,size,colour,blue,small,slow,R,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,40,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,41,0,velocity,size,colour,red,small,slow,R,0,0,1,1552120,25.868666666666666
1937.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,42,0,velocity,size,colour,red,large,fast,SC,1,1,1,1552120,25.868666666666666
1118.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,43,0,velocity,size,colour,red,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,44,0,velocity,size,colour,red,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,45,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
2202.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,46,0,velocity,size,colour,red,large,fast,SC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,47,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
2218.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,48,0,velocity,size,colour,blue,large,fast,SC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,49,0,velocity,size,colour,red,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,50,0,velocity,size,colour,red,small,fast,SC,0,0,1,1552120,25.868666666666666
2034.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,51,0,velocity,size,colour,red,large,fast,SC,1,1,1,1552120,25.868666666666666
1258.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,52,0,velocity,size,colour,blue,large,fast,SC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,53,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,54,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
844.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,55,0,velocity,size,colour,blue,large,slow,OC,1,1,1,1552120,25.868666666666666
1510.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,56,0,velocity,size,colour,blue,large,fast,SC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,57,0,velocity,size,colour,blue,small,fast,SC,0,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,58,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,59,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
1687.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,60,0,velocity,size,colour,red,large,fast,SC,1,1,1,1552120,25.868666666666666
1423.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,1,0,velocity,size,colour,red,large,fast,SC,1,1,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,2,0,velocity,size,colour,blue,small,fast,SC,0,0,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,3,0,velocity,size,colour,blue,small,fast,SC,0,0,0,1552120,25.868666666666666
890.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,4,0,velocity,size,colour,blue,large,fast,SC,1,1,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,5,0,velocity,size,colour,red,small,fast,SC,0,0,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,6,0,velocity,size,colour,red,small,slow,R,0,0,0,1552120,25.868666666666666
1058.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,7,0,velocity,size,colour,blue,large,slow,OC,1,1,0,1552120,25.868666666666666
905.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,8,0,velocity,size,colour,blue,large,slow,OC,1,1,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,9,0,velocity,size,colour,blue,small,fast,SC,0,0,0,1552120,25.868666666666666
777.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,10,0,velocity,size,colour,blue,large,fast,SC,1,1,0,1552120,25.868666666666666
661.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,11,0,velocity,size,colour,red,large,fast,SC,1,1,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,12,0,velocity,size,colour,red,small,fast,SC,0,0,0,1552120,25.868666666666666
709.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,13,0,velocity,size,colour,red,large,slow,OC,1,1,0,1552120,25.868666666666666
919.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,14,0,velocity,size,colour,red,large,fast,SC,1,1,0,1552120,25.868666666666666
863.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,15,0,velocity,size,colour,blue,large,fast,SC,1,1,0,1552120,25.868666666666666
738.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,16,0,velocity,size,colour,blue,large,slow,OC,1,1,0,1552120,25.868666666666666
833.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,17,0,velocity,size,colour,red,large,fast,SC,1,1,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,18,0,velocity,size,colour,blue,small,fast,SC,0,0,0,1552120,25.868666666666666
954.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,19,0,velocity,size,colour,red,large,fast,SC,1,1,0,1552120,25.868666666666666
548.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,3,20,0,velocity,size,colour,blue,large,slow,OC,1,1,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,1,1,1,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,1,2,1,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,1,3,1,velocity,colour,size,purple,small,slow,R,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,1,4,1,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,1,5,1,velocity,colour,size,green,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,1,6,1,velocity,colour,size,purple,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,1,7,1,velocity,colour,size,green,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,1,8,1,velocity,colour,size,green,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,1,9,1,velocity,colour,size,green,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,1,10,1,velocity,colour,size,green,small,fast,SC,0,0,1,1552120,25.868666666666666
2528.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,1,0,velocity,colour,size,green,large,slow,OC,1,1,1,1552120,25.868666666666666
880.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,2,0,velocity,colour,size,green,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,3,0,velocity,colour,size,green,small,fast,SC,0,0,1,1552120,25.868666666666666
2426.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,4,0,velocity,colour,size,purple,small,slow,R,1,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,5,0,velocity,colour,size,green,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,6,0,velocity,colour,size,green,large,fast,SC,0,0,1,1552120,25.868666666666666
950.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,7,0,velocity,colour,size,green,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,8,0,velocity,colour,size,green,small,slow,R,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,9,0,velocity,colour,size,green,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,10,0,velocity,colour,size,green,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,11,0,velocity,colour,size,green,large,fast,SC,0,0,1,1552120,25.868666666666666
948.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,12,0,velocity,colour,size,purple,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,13,0,velocity,colour,size,green,small,slow,R,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,14,0,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,15,0,velocity,colour,size,purple,small,fast,SC,0,1,1,1552120,25.868666666666666
810.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,16,0,velocity,colour,size,purple,large,slow,OC,1,0,1,1552120,25.868666666666666
953.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,17,0,velocity,colour,size,green,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,18,0,velocity,colour,size,green,small,slow,R,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,19,0,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,20,0,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,21,0,velocity,colour,size,green,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,22,0,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,23,0,velocity,colour,size,green,small,slow,R,0,0,1,1552120,25.868666666666666
820.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,24,0,velocity,colour,size,green,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,25,0,velocity,colour,size,green,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,26,0,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,27,0,velocity,colour,size,green,large,fast,SC,0,0,1,1552120,25.868666666666666
680.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,28,0,velocity,colour,size,purple,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,29,0,velocity,colour,size,green,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,30,0,velocity,colour,size,purple,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,31,0,velocity,colour,size,purple,small,slow,R,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,32,0,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,33,0,velocity,colour,size,green,small,slow,R,0,1,1,1552120,25.868666666666666
3409.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,34,0,velocity,colour,size,green,large,fast,SC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,35,0,velocity,colour,size,green,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,36,0,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
2735.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,37,0,velocity,colour,size,purple,small,slow,R,1,0,1,1552120,25.868666666666666
1034.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,38,0,velocity,colour,size,purple,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,39,0,velocity,colour,size,green,small,fast,SC,0,0,1,1552120,25.868666666666666
650.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,40,0,velocity,colour,size,green,large,slow,OC,1,1,1,1552120,25.868666666666666
1685.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,41,0,velocity,colour,size,purple,large,fast,SC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,42,0,velocity,colour,size,green,small,slow,R,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,43,0,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
1844.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,44,0,velocity,colour,size,purple,large,fast,SC,1,1,1,1552120,25.868666666666666
859.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,45,0,velocity,colour,size,purple,large,fast,SC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,46,0,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
912.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,47,0,velocity,colour,size,purple,large,fast,SC,1,1,1,1552120,25.868666666666666
592.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,48,0,velocity,colour,size,purple,large,slow,OC,1,1,1,1552120,25.868666666666666
608.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,49,0,velocity,colour,size,green,large,slow,OC,1,1,1,1552120,25.868666666666666
1172.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,50,0,velocity,colour,size,green,large,fast,SC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,51,0,velocity,colour,size,green,small,fast,SC,0,0,1,1552120,25.868666666666666
991.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,52,0,velocity,colour,size,green,large,fast,SC,1,1,1,1552120,25.868666666666666
157.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,53,0,velocity,colour,size,purple,large,slow,OC,1,1,1,1552120,25.868666666666666
1838.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,54,0,velocity,colour,size,purple,large,fast,SC,1,1,1,1552120,25.868666666666666
498.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,55,0,velocity,colour,size,green,large,slow,OC,1,1,1,1552120,25.868666666666666
600.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,56,0,velocity,colour,size,green,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,57,0,velocity,colour,size,green,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,58,0,velocity,colour,size,green,small,slow,R,0,0,1,1552120,25.868666666666666
550.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,59,0,velocity,colour,size,purple,large,fast,SC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,2,60,0,velocity,colour,size,purple,small,fast,SC,0,0,1,1552120,25.868666666666666
804.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,1,0,velocity,colour,size,purple,large,slow,OC,1,1,0,1552120,25.868666666666666
1435.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,2,0,velocity,colour,size,purple,large,fast,SC,1,1,0,1552120,25.868666666666666
508.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,3,0,velocity,colour,size,green,large,fast,SC,1,1,0,1552120,25.868666666666666
520.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,4,0,velocity,colour,size,green,large,slow,OC,1,1,0,1552120,25.868666666666666
1071.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,5,0,velocity,colour,size,purple,large,fast,SC,1,1,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,6,0,velocity,colour,size,green,small,fast,SC,0,0,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,7,0,velocity,colour,size,purple,small,slow,R,0,0,0,1552120,25.868666666666666
1219.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,8,0,velocity,colour,size,purple,large,slow,OC,1,1,0,1552120,25.868666666666666
868.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,9,0,velocity,colour,size,green,large,slow,OC,1,1,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,10,0,velocity,colour,size,purple,small,fast,SC,0,0,0,1552120,25.868666666666666
757.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,11,0,velocity,colour,size,purple,large,fast,SC,1,1,0,1552120,25.868666666666666
714.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,12,0,velocity,colour,size,green,large,fast,SC,1,1,0,1552120,25.868666666666666
557.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,13,0,velocity,colour,size,green,large,fast,SC,1,1,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,14,0,velocity,colour,size,green,small,slow,R,0,0,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,15,0,velocity,colour,size,purple,small,fast,SC,0,0,0,1552120,25.868666666666666
564.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,16,0,velocity,colour,size,purple,large,fast,SC,1,1,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,17,0,velocity,colour,size,purple,small,fast,SC,0,0,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,18,0,velocity,colour,size,green,small,slow,R,0,0,0,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,19,0,velocity,colour,size,purple,small,fast,SC,0,0,0,1552120,25.868666666666666
1462.0,542bdb6dfdf99b324ea37c3a,A,outcome,2,3,20,0,velocity,colour,size,purple,large,fast,SC,1,1,0,1552120,25.868666666666666
,56153d5e7ffc8a000a811ba8,A,outcome,1,1,1,1,velocity,size,colour,red,small,fast,SC,0,0,1,1579488,26.3248
,56153d5e7ffc8a000a811ba8,A,outcome,1,1,2,1,velocity,size,colour,blue,small,slow,R,0,0,1,1579488,26.3248
,56153d5e7ffc8a000a811ba8,A,outcome,1,1,3,1,velocity,size,colour,red,large,fast,SC,0,0,1,1579488,26.3248
,56153d5e7ffc8a000a811ba8,A,outcome,1,1,4,1,velocity,size,colour,blue,small,fast,SC,0,0,1,1579488,26.3248
,56153d5e7ffc8a000a811ba8,A,outcome,1,1,5,1,velocity,size,colour,red,large,slow,OC,0,1,1,1579488,26.3248
,56153d5e7ffc8a000a811ba8,A,outcome,1,1,6,1,velocity,size,colour,red,small,fast,SC,0,0,1,1579488,26.3248
,56153d5e7ffc8a000a811ba8,A,outcome,1,1,7,1,velocity,size,colour,blue,small,fast,SC,0,0,1,1579488,26.3248
,56153d5e7ffc8a000a811ba8,A,outcome,1,1,8,1,velocity,size,colour,blue,large,fast,SC,0,0,1,1579488,26.3248
,56153d5e7ffc8a000a811ba8,A,outcome,1,1,9,1,velocity,size,colour,red,large,fast,SC,0,0,1,1579488,26.3248
,56153d5e7ffc8a000a811ba8,A,outcome,1,1,10,1,velocity,size,colour,blue,small,fast,SC,0,0,1,1579488,26.3248
